Higher Clade;Species;SP#;Body Mass (g);Femoral Pneumaticity;Humerus Length;Humerus Circumference;Femur Length;Femur Circumference;Tibia Length;Tibia Circumference
Ciconiiformes;Platalea alba;ROM 157311;1440;no;138,525;28,15;80,26;23,5;188,25;21,4
Ciconiiformes;Eudocimus albus;ROM 112456;690;no;124,98;26,75;74,15;21,95;146,8;19,4
Ciconiiformes;Threskiornis aethiopicus;ROM 124083;1247;no;104,64;22,5;67,18;18,3;142,05;16,95
Columbiformes;Columba oenas;ROM 122191;284;no;;;39,5;13;53,5;12
Columbiformes;Streptopelia tranquebarica;ROM 125565;79;no;;;24,3;9;31,9;8,5
Columbiformes;Pterocles exustus;ROM 125553;208;no;41,15;13,1;36,75;10,05;48;8,5
Coraciiformes;Bycanistes subcylindricus;ROM 126588;1361;yes;;;76,2;26,5;105,4;21,5
Coraciiformes;Upupa epops;ROM 120745;57;yes;35,4;10,52;23,35;7,6;35,6;6,45
Cuculiformes;Geococcyx californiana;ROM 128876;308;yes;46,39;11,65;56,495;15,05;85,725;13
Cuculiformes;Coccyzus erythropthalmus;ROM 158290;53;no;;;26,9;9;37,6;8
Cuculiformes;Coccyzus americanus;ROM 31822;95;no;;;29,8;10;41,7;9
Falconiformes;Accipiter gentilis;ROM 158425;1010;yes;;;85,3;24;110,35;20
Falconiformes;Aquila chrysaetos;ROM 72072;6577;yes;;;133,7;44;172,5;37,35
Falconiformes;Buteo platypterus;ROM 74193;530;yes;;;55,75;18,1;79,6;16,75
Falconiformes;Buteogallus anthracinus;ROM 109238;690;yes;;;79,1;23;114,1;20
Falconiformes;Haliaeetus leucocephalus;ROM 105446;4309;yes;;;118,2;41;154,4;33
Falconiformes;Melierax gabar;ROM 121031;220;yes;;;48,05;12,85;66;11,25
Falconiformes;Falco sparverius;ROM 159786;131;yes;;;37,55;10,5;50,1;10,25
Falconiformes;Sagittarius serpentarius;ROM 78897;3175;yes;;;109,5;38,5;285;31,5
Galliformes;Ortalis vetula;ROM 109233;480;no;55,05;15,2;62,6;15;95,4;13,8
Galliformes;Agriocharis ocellata;ROM 118526;2950;no;107,55;30,75;98,2;26,35;160,6;21,85
Galliformes;Meleagris gallopavo;ROM 29224;8800;no;152,8;44,45;141,65;39,3;228,95;33
Galliformes;Acryllium vulturinum;ROM 157316;1130;no;89,95;25,65;87,4;22,1;134,9;19
Galliformes;Numida meleagris;ROM 121411;1628;no;78,65;22,9;82,85;24,25;110,65;22,15
Galliformes;Callipepla squamata;ROM 99412;193;no;36,8;10;41,65;10,35;58,5;8,95
Galliformes;Colinus virginianus;ROM 114686;192;no;38,15;10,75;45,2;11,05;;
Galliformes;Lophortyx gambelii;ROM 106498;198;no;34,7;10,1;41,3;10,85;57,3;9,9
Galliformes;Philortyx fasciatus;ROM 115877;123;no;;;39,35;9,2;;
Galliformes;Alectoris graeca;ROM 29173;515;no;51,595;14;59,28;16,2;79,165;13,1
Galliformes;Argusianus argus;ROM 102133;1580;yes;81,255;25,9;86,49;27,3;127,075;19,05
Galliformes;Chrysolophus amherstiae;ROM 124082;682;yes;59,905;16,4;76,31;19,85;;
Galliformes;Crossoptilon auritum;ROM 157402;1480;yes;81,95;22,75;103,4;26,75;;
Galliformes;Francolinus natalensis;ROM 120809;570;no;54,9;15,7;65,1;16;83,3;14,8
Galliformes;Gallus gallus;ROM 126615;1313;no;69,85;18,9;74,55;22,5;106,85;19,5
Galliformes;Gallus gallus;ROM 94357;3714;no;106,55;30,4;119,15;36,5;175,1;34,75
Galliformes;Lophophorus impejanus;ROM 29223;765;no;;;94,7;23;125,75;20,75
Galliformes;Lophura nycthemera;ROM 105355;965;yes;76,15;22;91,4;25,55;128,85;19,15
Galliformes;Pavo cristatus;ROM 105480;6946;yes;141,865;35,95;120,55;38,75;200;31
Galliformes;Phasianus colchicus;ROM 111948;1226;yes;74,57;20,5;84,965;21,3;111,85;18
Galliformes;Phasianus versicolor;ROM 111947;1543;yes;81,7;20,9;90,75;25,5;120,9;22
Galliformes;Rollulus rouloul;ROM 116916;239;no;38,65;10,7;43,9;10,65;59,6;9,75
Galliformes;Syrmaticus reevesi;ROM 109019;641;no;70,6;18,95;73,65;19,05;106,1;16,9
Galliformes;Syrmaticus ellioti;ROM 127730;1134;no;64,45;21,15;69,35;20,35;92,35;18,25
Galliformes;Tetraogallus himalayensis;ROM 157320;1450;no;88,035;24,1;93,2;28;128,765;23,3
Galliformes;Tragopan blythi;ROM 156316;1074;no;78,55;23,2;94,1;22,1;130,4;20,4
Galliformes;Bonasa umbellus;ROM 108934;738;yes;56,4;17,1;66,25;16,55;89,3;13,75
Galliformes;Centrocercus urophasianus;ROM 110799;1600;yes;89,1;23,65;79,05;21,5;96,3;16,8
Galliformes;Dendragapus canadensis;ROM 139940;560;yes;56,65;16,3;57,9;14;73;11,4
Galliformes;Dendragapus obscurus;ROM 146117;1321;yes;;;75,25;21,5;95,25;17,25
Galliformes;Lagopus leucurus;ROM 119379;384;yes;51,9;13,2;33;12,45;64,45;
Galliformes;Lagopus lagopus;ROM 146286;635;yes;61,2;16,3;60,95;15;76,55;11,8
Galliformes;Tympanuchus pallidicinctus;ROM 145715;905;yes;66,1;17,8;60,95;16,75;87,3;13,8
Galliformes;Tympanuchus cupido;ROM 148226;846;yes;;;65,75;16,25;;
Galliformes;Tympanuchus phasianellus;ROM 80796;940;yes;;;70;18,5;;
Gruiformes;Balearica pavonina;ROM 80645;3033;no;202,95;40,75;108,4;30,15;280;29,6
Gruiformes;Anthropoides paradisaea;ROM 119906;3629;no;205,45;36,5;116,8;30,15;267,15;29,5
Gruiformes;Bugeranus carunculatus;ROM 124447;4990;no;;;141,85;39,25;364,5;39,45
Gruiformes;Grus canadensis;ROM 128182;4445;no;202,4;41;114,15;32,55;234,65;26,8
Gruiformes;Grus grus;ROM 102310;5300;no;234,1;48,6;130,95;38,05;292,6;32,5
Gruiformes;Grus antigone;ROM 96150;6550;no;;;143,45;39,25;375;37,25
Gruiformes;Grus antigone;ROM 150920;6800;no;257,55;53,65;145;44,6;380,6;42,9
Gruiformes;Grus carunculatus;ROM 102107;6900;no;267,05;52,7;136,4;40,95;368,5;38,6
Gruiformes;Psophia crepitans;ROM 71368;780;no;71,3;20,15;68,9;19,65;140,9;18,7
Gruiformes;Fulica americana;ROM 126627;550;no;71,55;13,15;55,2;14,9;100,3;11,6
Gruiformes;Aramides cajanea;ROM 115676;514;no;56,2;13;67;16,9;111,5;15,45
Gruiformes;Crex crex;ROM 120742;130;no;42,45;8,75;44,95;10,15;61,9;8,85
Gruiformes;Gallinula chloropus;ROM 120004;373;no;53,95;12,65;53,05;13,15;91,55;12,25
Gruiformes;Gallirallus australis;ROM 101566;846;no;58,4;14,05;82,75;21,1;120,3;19,2
Gruiformes;Porphyrio porphyrio;ROM 126674;677;no;80,05;16;78;17,9;143,85;16,95
Gruiformes;Porphyrula martinica;ROM 107785;358;no;56,55;12,75;53,3;14,5;92,3;12,9
Gruiformes;Porzana carolina;ROM 108819;92;no;32,65;7,05;33,85;8,15;;
Gruiformes;Rallus limicola;ROM 115489;120;no;;;40,75;9;60,5;8,35
Gruiformes;Rallus elegans;ROM 91373;237;no;58,35;11,15;57,4;13;88,65;11,65
Gruiformes;Tribonyx mortierii;ROM 111950;829;no;61,5;14,7;78,6;22,85;125,6;20,15
Gruiformes;Turnix varia;ROM 152206;70;no;32,15;7,7;30,25;7;37,9;6,25
Pelecaniformes;Pelecanus onocrotalus;ROM 102334;8530;no;;;108,3;38,5;186;40,5
Pelecaniformes;Phalacrocorax penicillatus;ROM 138102;2360;no;;;61,4;26;125,1;21,4
Pelecaniformes;Sula bassana;ROM 94356;2892;yes;;;72,35;24;105,35;21,75
Phoenicopteriformes;Phoenicopterus chilensis;ROM 106024;1179;yes;175,7;29,6;83,05;28,45;236,2;20,5
Phoenicopteriformes;Phoenicopterus ruber;ROM 157862;2800;yes;196,45;34,05;96,15;37,25;362,5;27,5
Psittaciformes;Lorius lory;ROM 157426;187;no;;;39,5;11;53,8;9,5
Psittaciformes;Cyanoramphus novaezelandiae;ROM 102174;56;no;;;27,45;10,25;43,65;9
Sphenisciformes;Megadyptes antipodes;ROM 157401;4990;no;;;84,6;29,5;125,05;25
Strigiformes;Bubo virgianus;ROM 159789;1881;no;;;85,15;24,5;123,7;22,9
Strigiformes;Bubo bubo;ROM 125641;1924;no;;;94,15;26,25;136,35;25,25
Strigiformes;Nyctea scandiaca;ROM 156270;1788;no;;;87,5;24,5;116,8;21,5
Strigiformes;Otus asio;ROM 71927;199;no;;;42,5;11,5;60,15;11
Strigiformes;Aegolius funereus;ROM 74337;170;no;;;36,95;11,75;48,7;11
Strigiformes;Asio flammeus;ROM 34389;370;no;;;57,8;14;83,8;13,25
Strigiformes;Asio otus;ROM 101555;385;no;;;57,8;14,5;85,15;12,5
Struthioniformes;Dromaius novaehollandiae;ROM 148729;625;yes;15,36;;53,445;21;85,595;17,3
Struthioniformes;Pterocnemia pennata;ROM 106235;17747;no;;;209;71;;
Struthioniformes;Struthio camelus;ROM 102298;139026;yes;370,5;50,75;321;143;538;109
Tinamiformes;Crypturellus variegatus;ROM 125757;260;no;44,625;14;41,97;11,1;63,76;9,9
Tinamiformes;Crypturellus cinnamomeus;ROM 104348;350;no;48,585;15;52,815;13;72,27;11,4
Tinamiformes;Crypturellus boucardi;ROM 112832;460;no;51,11;16,2;55,485;14;80,935;12,4
Tinamiformes;Eudromia elegans;ROM 128924;1769;no;63,055;16,7;58,82;16,05;81,95;13,2
Tinamiformes;Nothoprocta cinerascens;ROM 28511;470;no;58,015;14;52,975;14,7;69,76;12,1
